instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
3074,2011-05-09,2,0,5,2,0,0,1,1,0.463,0.5036,0.5011,0.0245,0,5,5
3075,2011-05-09,2,0,5,3,0,0,1,2,0.502,0.5534,0.5639,0.1491,0,4,4
3076,2011-05-09,2,0,5,4,0,0,1,2,0.4844,0.4594,0.2294,0.2234,0,2,2
3077,2011-05-09,2,0,5,5,0,0,1,1,0.4767,0.4559,0.4668,0.185,4,20,24
3078,2011-05-09,2,0,5,6,0,0,1,2,0.5177,0.5515,0.5344,0.045,10,49,59
3079,2011-05-09,2,0,5,7,0,0,1,2,0.5228,0.5044,0.2934,0.3239,27,74,101
3080,2011-05-09,2,0,5,8,0,0,1,1,0.507,0.4542,0.2379,0.0163,35,133,168
3081,2011-05-09,2,0,5,9,0,0,1,1,0.4528,0.4868,0.4067,0.7347,25,102,127
3082,2011-05-09,2,0,5,10,0,0,1,1,0.5704,0.574,0.6111,0.0225,25,83,108
3083,2011-05-09,2,0,5,11,0,0,1,2,0.5631,0.5683,0.3596,0.3055,15,55,70
3084,2011-05-09,2,0,5,12,0,0,1,1,0.5634,0.5518,0.568,0.3476,22,89,111
3085,2011-05-09,2,0,5,13,0,0,1,1,0.458,0.435,0.8418,0.0164,21,82,103
3086,2011-05-09,2,0,5,14,0,0,1,1,0.4741,0.4974,0.5871,0.6123,9,55,64
3087,2011-05-09,2,0,5,15,0,0,1,3,0.5581,0.5745,0.4603,0.0089,9,48,57
3088,2011-05-09,2,0,5,16,0,0,1,3,0.5239,0.4958,0.4512,0.0617,19,57,76
3089,2011-05-09,2,0,5,17,0,0,1,1,0.5207,0.5333,0.6348,0.0234,59,213,272
3090,2011-05-09,2,0,5,18,0,0,1,1,0.5848,0.5261,0.3488,0.0053,46,132,178
3091,2011-05-09,2,0,5,19,0,0,1,2,0.5291,0.54,0.2604,0.1462,12,87,99
3092,2011-05-09,2,0,5,20,0,0,1,1,0.5268,0.5131,0.8602,0.3172,19,60,79
3093,2011-05-09,2,0,5,21,0,0,1,1,0.515,0.525,0.5063,0.0555,11,46,57
3094,2011-05-09,2,0,5,22,0,0,1,1,0.5335,0.4869,0.3776,0.0725,8,45,53
3095,2011-05-09,2,0,5,23,0,0,1,2,0.5487,0.5604,0.5717,0.0663,6,17,23
3096,2011-05-10,2,0,5,0,0,1,1,1,0.5121,0.4543,0.7303,0.5522,3,11,14
3097,2011-05-10,2,0,5,1,0,1,1,2,0.5279,0.5059,0.6496,0.0737,1,6,7
3098,2011-05-10,2,0,5,2,0,1,1,1,0.4806,0.4389,0.3402,0.0076,1,3,4
3099,2011-05-10,2,0,5,3,0,1,1,1,0.5217,0.5003,0.0,0.1282,0,4,4
3100,2011-05-10,2,0,5,4,0,1,1,2,0.4113,0.4122,0.5819,0.075,1,4,5
3101,2011-05-10,2,0,5,5,0,1,1,3,0.4427,0.4484,0.4803,0.1947,2,8,10
3102,2011-05-10,2,0,5,6,0,1,1,2,0.5239,0.5052,0.5005,0.0079,7,43,50
3103,2011-05-10,2,0,5,7,0,1,1,1,0.4997,0.4961,0.5053,0.1667,23,181,204
3104,2011-05-10,2,0,5,8,0,1,1,1,0.5634,0.5697,0.6575,0.2499,25,194,219
3105,2011-05-10,2,0,5,9,0,1,1,1,0.4812,0.5403,0.4027,0.0884,24,62,86
3106,2011-05-10,2,0,5,10,0,1,1,1,0.5316,0.4785,0.6424,0.4262,29,86,115
3107,2011-05-10,2,0,5,11,0,1,1,1,0.504,0.4603,0.6302,0.4818,23,85,108
3108,2011-05-10,2,0,5,12,0,1,1,1,0.4326,0.4021,0.5846,0.1359,32,135,167
3109,2011-05-10,2,0,5,13,0,1,1,1,0.5081,0.5198,0.3516,0.011,20,88,108
3110,2011-05-10,2,0,5,14,0,1,1,2,0.5389,0.4892,0.387,0.3554,15,43,58
3111,2011-05-10,2,0,5,15,0,1,1,1,0.4813,0.4632,0.4257,0.6367,23,110,133
3112,2011-05-10,2,0,5,16,0,1,1,1,0.5351,0.5384,0.5582,0.2115,48,129,177
3113,2011-05-10,2,0,5,17,0,1,1,1,0.5515,0.6188,0.6438,0.0659,31,191,222
3114,2011-05-10,2,0,5,18,0,1,1,1,0.5161,0.4721,0.5349,0.2901,26,174,200
3115,2011-05-10,2,0,5,19,0,1,1,3,0.4964,0.499,0.5708,0.0124,15,58,73
3116,2011-05-10,2,0,5,20,0,1,1,3,0.4097,0.3992,0.4224,0.2098,5,45,50
3117,2011-05-10,2,0,5,21,0,1,1,1,0.3982,0.4004,0.634,0.4096,15,41,56
3118,2011-05-10,2,0,5,22,0,1,1,1,0.4363,0.4162,0.4927,0.4386,7,29,36
3119,2011-05-10,2,0,5,23,0,1,1,2,0.5479,0.5465,0.6312,0.0192,4,17,21
3120,2011-05-11,2,0,5,0,0,2,1,1,0.4881,0.4693,0.5061,0.1128,4,12,16
3121,2011-05-11,2,0,5,1,0,2,1,3,0.5547,0.5567,0.3581,0.3955,1,5,6
3122,2011-05-11,2,0,5,2,0,2,1,1,0.4712,0.5208,0.5512,0.2607,0,4,4
3123,2011-05-11,2,0,5,3,0,2,1,1,0.4564,0.4313,0.4827,0.1464,0,3,3
3124,2011-05-11,2,0,5,4,0,2,1,3,0.5095,0.5508,0.612,0.0939,0,3,3
3125,2011-05-11,2,0,5,5,0,2,1,1,0.5435,0.473,0.6766,0.0662,4,17,21
3126,2011-05-11,2,0,5,6,0,2,1,3,0.5458,0.5152,0.4457,0.0639,8,23,31
3127,2011-05-11,2,0,5,7,0,2,1,2,0.3498,0.3304,0.2881,0.112,16,142,158
3128,2011-05-11,2,0,5,8,0,2,1,1,0.5791,0.5439,0.3035,0.0011,42,239,281
3129,2011-05-11,2,0,5,9,0,2,1,2,0.5795,0.6012,0.4824,0.437,18,47,65
3130,2011-05-11,2,0,5,10,0,2,1,1,0.5356,0.5735,0.4969,0.2236,24,73,97
3131,2011-05-11,2,0,5,11,0,2,1,1,0.4836,0.508,0.4702,0.4314,15,64,79
3132,2011-05-11,2,0,5,12,0,2,1,2,0.4688,0.4784,0.7308,0.5363,11,72,83
3133,2011-05-11,2,0,5,13,0,2,1,1,0.5056,0.4954,0.6091,0.0393,8,52,60
3134,2011-05-11,2,0,5,14,0,2,1,2,0.513,0.5185,0.3342,0.3946,22,76,98
3135,2011-05-11,2,0,5,15,0,2,1,2,0.5226,0.5059,0.2221,0.0457,20,76,96
3136,2011-05-11,2,0,5,16,0,2,1,2,0.52,0.5056,0.4652,0.1464,17,92,109
3137,2011-05-11,2,0,5,17,0,2,1,1,0.5854,0.5464,0.5813,0.0652,53,161,214
3138,2011-05-11,2,0,5,18,0,2,1,1,0.6641,0.6788,0.4497,0.0491,10,92,102
3139,2011-05-11,2,0,5,19,0,2,1,1,0.5671,0.5895,0.4003,0.0057,11,70,81
3140,2011-05-11,2,0,5,20,0,2,1,2,0.4521,0.466,0.6132,0.0352,10,50,60
3141,2011-05-11,2,0,5,21,0,2,1,2,0.4416,0.5118,0.4734,0.2029,7,49,56
3142,2011-05-11,2,0,5,22,0,2,1,1,0.5104,0.5427,0.6218,0.0219,12,38,50
3143,2011-05-11,2,0,5,23,0,2,1,3,0.4523,0.4617,0.4439,0.0164,2,12,14
3144,2011-05-12,2,0,5,0,0,3,1,1,0.5005,0.4563,0.8901,0.1834,1,13,14
3145,2011-05-12,2,0,5,1,0,3,1,1,0.5107,0.4907,0.0686,0.2275,1,6,7
3146,2011-05-12,2,0,5,2,0,3,1,1,0.5103,0.5311,0.4302,0.2733,0,6,6
3147,2011-05-12,2,0,5,3,0,3,1,1,0.4633,0.4831,0.3886,0.1704,0,2,2
3148,2011-05-12,2,0,5,4,0,3,1,2,0.525,0.5632,0.2113,0.0374,0,5,5
3149,2011-05-12,2,0,5,5,0,3,1,2,0.5781,0.5641,0.6333,0.6319,2,16,18
3150,2011-05-12,2,0,5,6,0,3,1,2,0.5288,0.5617,0.4396,0.1339,6,52,58
3151,2011-05-12,2,0,5,7,0,3,1,3,0.5339,0.5424,0.3595,0.0047,31,84,115
3152,2011-05-12,2,0,5,8,0,3,1,1,0.5379,0.4887,0.7755,0.0992,41,133,174
3153,2011-05-12,2,0,5,9,0,3,1,2,0.4872,0.4558,0.5784,0.0682,19,89,108
3154,2011-05-12,2,0,5,10,0,3,1,2,0.5455,0.5424,0.505,0.1553,10,81,91
3155,2011-05-12,2,0,5,11,0,3,1,2,0.4698,0.511,0.781,0.0051,12,57,69
3156,2011-05-12,2,0,5,12,0,3,1,2,0.5902,0.542,0.4411,0.3939,15,57,72
3157,2011-05-12,2,0,5,13,0,3,1,3,0.5774,0.5317,0.4477,0.0971,11,52,63
3158,2011-05-12,2,0,5,14,0,3,1,2,0.471,0.4497,0.3714,0.1371,12,54,66
3159,2011-05-12,2,0,5,15,0,3,1,1,0.4441,0.4018,0.586,0.0008,37,89,126
3160,2011-05-12,2,0,5,16,0,3,1,2,0.4731,0.5233,0.2582,0.0054,32,91,123
3161,2011-05-12,2,0,5,17,0,3,1,2,0.539,0.5231,0.3879,0.0822,37,167,204
3162,2011-05-12,2,0,5,18,0,3,1,2,0.593,0.604,0.4274,0.1118,42,116,158
3163,2011-05-12,2,0,5,19,0,3,1,1,0.5829,0.5731,0.4625,0.0145,27,87,114
3164,2011-05-12,2,0,5,20,0,3,1,1,0.5179,0.5403,0.1491,0.1769,10,47,57
3165,2011-05-12,2,0,5,21,0,3,1,1,0.5071,0.537,0.5082,0.1563,8,45,53
3166,2011-05-12,2,0,5,22,0,3,1,2,0.5755,0.6154,0.5752,0.0481,7,30,37
3167,2011-05-12,2,0,5,23,0,3,1,1,0.421,0.3973,0.7342,0.0337,4,27,31
3168,2011-05-13,2,0,5,0,0,4,1,3,0.4295,0.4721,0.5177,0.0415,1,12,13
3169,2011-05-13,2,0,5,1,0,4,1,1,0.5314,0.525,0.546,0.036,1,6,7
3170,2011-05-13,2,0,5,2,0,4,1,1,0.5257,0.499,0.6718,0.152,1,5,6
3171,2011-05-13,2,0,5,3,0,4,1,1,0.5875,0.6179,0.6494,0.0254,0,4,4
3172,2011-05-13,2,0,5,4,0,4,1,1,0.5226,0.5285,0.2582,0.0176,1,4,5
3173,2011-05-13,2,0,5,5,0,4,1,2,0.5252,0.5184,0.2129,0.2015,2,11,13
3174,2011-05-13,2,0,5,6,0,4,1,2,0.5056,0.4902,0.3279,0.1047,5,29,34
3175,2011-05-13,2,0,5,7,0,4,1,1,0.585,0.5619,0.7479,0.0355,34,177,211
3176,2011-05-13,2,0,5,8,0,4,1,1,0.501,0.4855,0.5232,0.85,22,165,187
3177,2011-05-13,2,0,5,9,0,4,1,2,0.5338,0.5105,0.612,0.0181,18,98,116
3178,2011-05-13,2,0,5,10,0,4,1,1,0.5567,0.5513,0.6071,0.1142,29,77,106
3179,2011-05-13,2,0,5,11,0,4,1,1,0.528,0.5208,0.4821,0.0202,21,76,97
3180,2011-05-13,2,0,5,12,0,4,1,1,0.5608,0.5327,0.7105,0.2098,19,107,126
3181,2011-05-13,2,0,5,13,0,4,1,1,0.4971,0.4966,0.4637,0.0172,8,59,67
3182,2011-05-13,2,0,5,14,0,4,1,1,0.5541,0.5697,0.2846,0.0727,20,131,151
3183,2011-05-13,2,0,5,15,0,4,1,1,0.5078,0.5512,0.601,0.0323,25,103,128
3184,2011-05-13,2,0,5,16,0,4,1,1,0.581,0.5118,0.4394,0.1541,18,72,90
3185,2011-05-13,2,0,5,17,0,4,1,3,0.5135,0.5488,0.7194,0.0147,34,89,123
3186,2011-05-13,2,0,5,18,0,4,1,2,0.4712,0.4724,0.4256,0.0164,31,88,119
3187,2011-05-13,2,0,5,19,0,4,1,1,0.5117,0.4728,0.3915,0.1151,4,38,42
3188,2011-05-13,2,0,5,20,0,4,1,2,0.5899,0.588,0.4158,0.0074,18,59,77
3189,2011-05-13,2,0,5,21,0,4,1,3,0.4343,0.4234,0.427,0.0596,5,26,31
3190,2011-05-13,2,0,5,22,0,4,1,2,0.5664,0.5558,0.5811,0.1051,5,33,38
3191,2011-05-13,2,0,5,23,0,4,1,1,0.5342,0.591,0.7145,0.1941,3,27,30
3192,2011-05-14,2,0,5,0,0,5,0,2,0.3998,0.421,0.8414,0.0243,3,14,17
3193,2011-05-14,2,0,5,1,0,5,0,1,0.4815,0.4738,0.4569,0.0701,2,6,8
3194,2011-05-14,2,0,5,2,0,5,0,1,0.4305,0.4076,0.4131,0.7435,0,4,4
3195,2011-05-14,2,0,5,3,0,5,0,1,0.4782,0.4624,0.5388,0.1027,0,3,3
3196,2011-05-14,2,0,5,4,0,5,0,1,0.4348,0.4457,0.6574,0.0244,0,3,3
3197,2011-05-14,2,0,5,5,0,5,0,2,0.5052,0.4862,0.667,0.0152,5,16,21
3198,2011-05-14,2,0,5,6,0,5,0,3,0.5521,0.5549,0.5743,0.0092,7,21,28
3199,2011-05-14,2,0,5,7,0,5,0,2,0.4583,0.4436,0.5593,0.067,28,124,152
3200,2011-05-14,2,0,5,8,0,5,0,2,0.4835,0.4757,0.4684,0.0642,24,152,176
3201,2011-05-14,2,0,5,9,0,5,0,2,0.5462,0.5094,0.4513,0.1609,19,94,113
3202,2011-05-14,2,0,5,10,0,5,0,2,0.4967,0.5084,0.6767,0.0346,19,51,70
3203,2011-05-14,2,0,5,11,0,5,0,1,0.5883,0.5528,0.3116,0.1984,11,62,73
3204,2011-05-14,2,0,5,12,0,5,0,1,0.5431,0.5592,1.0,0.1786,22,87,109
3205,2011-05-14,2,0,5,13,0,5,0,1,0.5632,0.57,0.609,0.0615,17,98,115
3206,2011-05-14,2,0,5,14,0,5,0,2,0.5941,0.5706,0.5656,0.1194,11,63,74
3207,2011-05-14,2,0,5,15,0,5,0,1,0.5488,0.613,0.6069,0.0542,13,77,90
3208,2011-05-14,2,0,5,16,0,5,0,1,0.5419,0.5482,0.455,0.0104,26,80,106
3209,2011-05-14,2,0,5,17,0,5,0,1,0.4658,0.5012,0.5183,0.4313,25,198,223
3210,2011-05-14,2,0,5,18,0,5,0,1,0.5429,0.5851,0.3448,0.0997,25,95,120
3211,2011-05-14,2,0,5,19,0,5,0,2,0.4584,0.3963,0.1509,0.369,26,71,97
3212,2011-05-14,2,0,5,20,0,5,0,1,0.4991,0.4837,0.4518,0.2436,16,59,75
3213,2011-05-14,2,0,5,21,0,5,0,3,0.5123,0.4651,0.377,0.2201,7,35,42
3214,2011-05-14,2,0,5,22,0,5,0,1,0.5932,0.6391,0.6334,0.0106,10,46,56
3215,2011-05-14,2,0,5,23,0,5,0,2,0.4645,0.4305,0.4674,0.6495,2,16,18
3216,2011-05-15,2,0,5,0,0,6,0,1,0.5048,0.5296,0.4352,0.0636,3,11,14
3217,2011-05-15,2,0,5,1,0,6,0,1,0.4711,0.4815,0.578,0.1039,1,9,10
3218,2011-05-15,2,0,5,2,0,6,0,2,0.4979,0.4855,0.5325,0.116,1,4,5
3219,2011-05-15,2,0,5,3,0,6,0,1,0.5582,0.5534,0.4525,0.1508,0,3,3
3220,2011-05-15,2,0,5,4,0,6,0,1,0.5857,0.519,0.357,0.1403,1,4,5
3221,2011-05-15,2,0,5,5,0,6,0,1,0.5491,0.508,0.3088,0.0781,3,15,18
3222,2011-05-15,2,0,5,6,0,6,0,3,0.5397,0.5604,0.548,0.3506,3,32,35
3223,2011-05-15,2,0,5,7,0,6,0,1,0.5423,0.5882,0.4248,0.0574,17,97,114
3224,2011-05-15,2,0,5,8,0,6,0,1,0.5749,0.5764,0.606,0.3226,36,162,198
3225,2011-05-15,2,0,5,9,0,6,0,1,0.5205,0.5162,0.5779,0.0816,27,77,104
3226,2011-05-15,2,0,5,10,0,6,0,1,0.5551,0.5064,0.5006,0.4131,23,69,92
3227,2011-05-15,2,0,5,11,0,6,0,2,0.4155,0.3813,0.3469,0.6713,7,63,70
3228,2011-05-15,2,0,5,12,0,6,0,2,0.4651,0.4101,0.5647,0.1801,24,72,96
3229,2011-05-15,2,0,5,13,0,6,0,2,0.4014,0.3968,0.7076,0.0022,19,64,83
3230,2011-05-15,2,0,5,14,0,6,0,1,0.5096,0.4898,0.4729,0.1213,24,78,102
3231,2011-05-15,2,0,5,15,0,6,0,1,0.5606,0.5614,0.3159,0.1483,23,85,108
3232,2011-05-15,2,0,5,16,0,6,0,1,0.4961,0.4776,0.1779,0.332,25,89,114
3233,2011-05-15,2,0,5,17,0,6,0,2,0.4723,0.4741,0.6963,0.0324,17,131,148
3234,2011-05-15,2,0,5,18,0,6,0,1,0.4386,0.4118,0.4404,0.172,22,105,127
3235,2011-05-15,2,0,5,19,0,6,0,2,0.6331,0.6848,0.5212,0.0036,10,46,56
3236,2011-05-15,2,0,5,20,0,6,0,1,0.4879,0.4654,0.4145,0.1588,10,36,46
3237,2011-05-15,2,0,5,21,0,6,0,3,0.5341,0.547,0.6322,0.1468,11,28,39
3238,2011-05-15,2,0,5,22,0,6,0,1,0.5359,0.5344,0.7116,0.0046,9,29,38
3239,2011-05-15,2,0,5,23,0,6,0,3,0.5049,0.5031,0.417,0.0084,4,13,17
3240,2011-05-16,2,0,5,0,0,0,1,2,0.4983,0.4773,0.5206,0.4705,3,16,19
3241,2011-05-16,2,0,5,1,0,0,1,2,0.5513,0.5517,0.2918,0.0593,1,5,6
3242,2011-05-16,2,0,5,2,0,0,1,1,0.5482,0.4856,0.6099,0.1866,0,3,3
3243,2011-05-16,2,0,5,3,0,0,1,3,0.5933,0.5765,0.4785,0.0356,0,1,1
3244,2011-05-16,2,0,5,4,0,0,1,2,0.5574,0.4969,0.3216,0.0115,0,4,4
3245,2011-05-16,2,0,5,5,0,0,1,1,0.5788,0.5938,0.3328,0.2541,1,11,12
3246,2011-05-16,2,0,5,6,0,0,1,1,0.6274,0.6279,0.7357,0.0088,11,50,61
3247,2011-05-16,2,0,5,7,0,0,1,1,0.542,0.5527,0.4238,0.0438,19,144,163
3248,2011-05-16,2,0,5,8,0,0,1,1,0.539,0.5401,0.2966,0.0274,26,168,194
3249,2011-05-16,2,0,5,9,0,0,1,1,0.5168,0.5207,0.1849,0.1758,28,118,146
3250,2011-05-16,2,0,5,10,0,0,1,1,0.5312,0.5263,0.4205,0.0647,6,52,58
3251,2011-05-16,2,0,5,11,0,0,1,1,0.5461,0.5176,0.7055,0.1851,12,78,90
3252,2011-05-16,2,0,5,12,0,0,1,1,0.5534,0.5939,0.7241,0.0088,32,99,131
3253,2011-05-16,2,0,5,13,0,0,1,1,0.4403,0.4531,0.4893,0.1545,34,100,134
3254,2011-05-16,2,0,5,14,0,0,1,2,0.4819,0.4956,0.5513,0.141,28,73,101
3255,2011-05-16,2,0,5,15,0,0,1,1,0.5206,0.4722,0.4495,0.1507,27,115,142
3256,2011-05-16,2,0,5,16,0,0,1,1,0.4946,0.5079,0.6496,0.0889,25,128,153
3257,2011-05-16,2,0,5,17,0,0,1,1,0.4858,0.5176,0.2934,0.1036,39,125,164
3258,2011-05-16,2,0,5,18,0,0,1,2,0.5975,0.5655,0.3548,0.0152,49,128,177
3259,2011-05-16,2,0,5,19,0,0,1,2,0.4911,0.4962,0.5401,0.2825,37,89,126
3260,2011-05-16,2,0,5,20,0,0,1,3,0.4935,0.5156,0.4337,0.2212,5,44,49
3261,2011-05-16,2,0,5,21,0,0,1,1,0.5449,0.5726,0.5152,0.5208,13,46,59
3262,2011-05-16,2,0,5,22,0,0,1,1,0.5223,0.5213,0.5493,0.0767,7,24,31
3263,2011-05-16,2,0,5,23,0,0,1,2,0.5798,0.5421,0.2397,0.0476,4,20,24
3264,2011-05-17,2,0,5,0,0,1,1,1,0.503,0.4821,0.4901,0.0765,3,11,14
3265,2011-05-17,2,0,5,1,0,1,1,3,0.4813,0.498,0.4763,0.0964,1,5,6
3266,2011-05-17,2,0,5,2,0,1,1,1,0.5012,0.5228,0.2757,0.2395,1,4,5
3267,2011-05-17,2,0,5,3,0,1,1,1,0.5746,0.6056,0.8058,0.1282,0,4,4
3268,2011-05-17,2,0,5,4,0,1,1,2,0.39,0.3527,0.4212,0.0054,0,4,4
3269,2011-05-17,2,0,5,5,0,1,1,3,0.5604,0.5234,0.5375,0.6249,1,7,8
3270,2011-05-17,2,0,5,6,0,1,1,2,0.5713,0.5352,0.4545,0.0904,7,41,48
3271,2011-05-17,2,0,5,7,0,1,1,1,0.5048,0.5371,0.6591,0.0372,16,99,115
3272,2011-05-17,2,0,5,8,0,1,1,1,0.4346,0.4129,0.5047,0.2544,50,136,186
3273,2011-05-17,2,0,5,9,0,1,1,1,0.5694,0.5783,0.6034,0.3499,17,108,125
3274,2011-05-17,2,0,5,10,0,1,1,1,0.4921,0.4767,0.5182,0.1246,14,65,79
3275,2011-05-17,2,0,5,11,0,1,1,2,0.4455,0.4098,0.5202,0.2127,6,30,36
3276,2011-05-17,2,0,5,12,0,1,1,1,0.5317,0.5403,0.3879,0.2615,10,81,91
3277,2011-05-17,2,0,5,13,0,1,1,1,0.4499,0.4433,0.4556,0.2107,21,59,80
3278,2011-05-17,2,0,5,14,0,1,1,3,0.5291,0.5771,0.3399,0.0494,9,42,51
3279,2011-05-17,2,0,5,15,0,1,1,1,0.5954,0.5802,0.3365,0.0621,24,98,122
3280,2011-05-17,2,0,5,16,0,1,1,2,0.4359,0.5127,0.4865,0.0855,9,38,47
3281,2011-05-17,2,0,5,17,0,1,1,2,0.5861,0.611,0.7553,0.1295,23,203,226
3282,2011-05-17,2,0,5,18,0,1,1,4,0.5119,0.4994,0.448,0.2423,10,56,66
3283,2011-05-17,2,0,5,19,0,1,1,1,0.5493,0.5072,0.4698,0.0715,44,106,150
3284,2011-05-17,2,0,5,20,0,1,1,1,0.388,0.3767,0.459,0.0043,20,53,73
3285,2011-05-17,2,0,5,21,0,1,1,1,0.5211,0.5617,0.7408,0.3579,8,65,73
3286,2011-05-17,2,0,5,22,0,1,1,1,0.5048,0.4991,0.4859,0.0325,14,36,50
3287,2011-05-17,2,0,5,23,0,1,1,1,0.5551,0.5975,0.4619,0.0244,5,18,23
3288,2011-05-18,2,0,5,0,0,2,1,1,0.4528,0.429,0.4167,0.85,2,14,16
3289,2011-05-18,2,0,5,1,0,2,1,1,0.5336,0.5604,0.6194,0.2078,1,7,8
3290,2011-05-18,2,0,5,2,0,2,1,2,0.5162,0.5408,0.404,0.0421,0,4,4
3291,2011-05-18,2,0,5,3,0,2,1,1,0.5112,0.5265,0.7763,0.1114,0,3,3
3292,2011-05-18,2,0,5,4,0,2,1,1,0.5672,0.5751,0.3539,0.0205,1,6,7
3293,2011-05-18,2,0,5,5,0,2,1,3,0.5903,0.5687,0.51,0.2716,0,5,5
3294,2011-05-18,2,0,5,6,0,2,1,1,0.4846,0.4506,0.4694,0.1351,8,46,54
3295,2011-05-18,2,0,5,7,0,2,1,2,0.538,0.5184,0.5335,0.3633,23,125,148
3296,2011-05-18,2,0,5,8,0,2,1,1,0.5714,0.6211,0.6223,0.3555,29,194,223
3297,2011-05-18,2,0,5,9,0,2,1,1,0.5145,0.4967,0.6156,0.1037,17,130,147
3298,2011-05-18,2,0,5,10,0,2,1,1,0.5732,0.5483,0.5606,0.0737,19,75,94
3299,2011-05-18,2,0,5,11,0,2,1,1,0.5087,0.5129,0.4519,0.0035,14,112,126
3300,2011-05-18,2,0,5,12,0,2,1,2,0.5637,0.5538,0.353,0.0824,24,87,111
3301,2011-05-18,2,0,5,13,0,2,1,2,0.5846,0.5788,0.4371,0.1043,28,89,117
3302,2011-05-18,2,0,5,14,0,2,1,1,0.5294,0.5406,0.6689,0.0914,20,64,84
3303,2011-05-18,2,0,5,15,0,2,1,1,0.4921,0.4836,0.4382,0.1779,32,91,123
3304,2011-05-18,2,0,5,16,0,2,1,3,0.5481,0.5239,0.4934,0.0817,15,41,56
3305,2011-05-18,2,0,5,17,0,2,1,1,0.5132,0.5347,0.3382,0.053,51,176,227
3306,2011-05-18,2,0,5,18,0,2,1,2,0.5184,0.5015,0.3815,0.1042,36,114,150
3307,2011-05-18,2,0,5,19,0,2,1,1,0.5385,0.5836,0.4286,0.2687,15,117,132
3308,2011-05-18,2,0,5,20,0,2,1,1,0.5317,0.5244,0.554,0.1635,18,47,65
3309,2011-05-18,2,0,5,21,0,2,1,3,0.5269,0.4598,0.8767,0.4849,10,27,37
3310,2011-05-18,2,0,5,22,0,2,1,1,0.5536,0.538,0.4168,0.1967,12,40,52
3311,2011-05-18,2,0,5,23,0,2,1,1,0.5277,0.5226,0.3588,0.183,7,22,29
3312,2011-05-19,2,0,5,0,0,3,1,2,0.5324,0.4995,0.3598,0.0967,5,15,20
3313,2011-05-19,2,0,5,1,0,3,1,2,0.462,0.4618,0.4604,0.2285,1,6,7
3314,2011-05-19,2,0,5,2,0,3,1,1,0.4324,0.448,0.6889,0.1831,1,5,6
3315,2011-05-19,2,0,5,3,0,3,1,1,0.586,0.5812,0.4256,0.2778,0,3,3
3316,2011-05-19,2,0,5,4,0,3,1,1,0.4363,0.4251,0.5536,0.0384,0,4,4
3317,2011-05-19,2,0,5,5,0,3,1,1,0.461,0.4262,0.7904,0.1438,4,11,15
3318,2011-05-19,2,0,5,6,0,3,1,1,0.4425,0.4383,0.4132,0.1013,10,48,58
3319,2011-05-19,2,0,5,7,0,3,1,2,0.4904,0.4685,0.5121,0.0905,45,142,187
3320,2011-05-19,2,0,5,8,0,3,1,1,0.5202,0.5327,0.8494,0.248,30,106,136
3321,2011-05-19,2,0,5,9,0,3,1,2,0.5206,0.5304,0.7268,0.1616,9,80,89
3322,2011-05-19,2,0,5,10,0,3,1,1,0.5162,0.5672,0.461,0.614,18,98,116
3323,2011-05-19,2,0,5,11,0,3,1,1,0.5855,0.516,0.3142,0.1672,14,70,84
3324,2011-05-19,2,0,5,12,0,3,1,2,0.5519,0.5747,0.661,0.0896,16,44,60
3325,2011-05-19,2,0,5,13,0,3,1,2,0.4823,0.4744,0.4356,0.1246,16,56,72
3326,2011-05-19,2,0,5,14,0,3,1,1,0.5403,0.5457,0.3521,0.13,22,85,107
3327,2011-05-19,2,0,5,15,0,3,1,2,0.4688,0.4131,0.591,0.1904,14,122,136
3328,2011-05-19,2,0,5,16,0,3,1,1,0.4983,0.476,0.357,0.0554,35,112,147
3329,2011-05-19,2,0,5,17,0,3,1,2,0.5245,0.4992,0.4336,0.0922,19,141,160
3330,2011-05-19,2,0,5,18,0,3,1,4,0.5401,0.5233,0.6538,0.4739,6,43,49
3331,2011-05-19,2,0,5,19,0,3,1,1,0.5245,0.507,0.2979,0.2399,13,114,127
3332,2011-05-19,2,0,5,20,0,3,1,2,0.5181,0.5152,0.4775,0.192,10,55,65
3333,2011-05-19,2,0,5,21,0,3,1,1,0.5931,0.5524,0.4228,0.0265,14,65,79
3334,2011-05-19,2,0,5,22,0,3,1,2,0.4818,0.5035,0.458,0.0115,8,34,42
3335,2011-05-19,2,0,5,23,0,3,1,1,0.6057,0.5788,0.4125,0.2289,4,16,20
3336,2011-05-20,2,0,5,0,0,4,1,1,0.5749,0.5966,0.2824,0.0,4,15,19
3337,2011-05-20,2,0,5,1,0,4,1,2,0.4929,0.4995,0.6854,0.0741,1,7,8
3338,2011-05-20,2,0,5,2,0,4,1,1,0.6018,0.6365,0.7494,0.1497,0,6,6
3339,2011-05-20,2,0,5,3,0,4,1,1,0.5087,0.5098,0.7147,0.041,0,4,4
3340,2011-05-20,2,0,5,4,0,4,1,1,0.5035,0.453,0.4773,0.1491,0,6,6
3341,2011-05-20,2,0,5,5,0,4,1,1,0.4561,0.4362,0.3947,0.0425,3,16,19
3342,2011-05-20,2,0,5,6,0,4,1,1,0.4279,0.4559,0.6519,0.3238,13,37,50
3343,2011-05-20,2,0,5,7,0,4,1,2,0.6123,0.6397,0.7162,0.1201,18,137,155
